Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Collection Category,Date L-1 Generated,WRS Path,WRS Row,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec
LE07_L1TP_090084_20050420_20170115_01_T1,LE70900842005110ASA00,2005/04/20,T1,2017/01/15, 090, 084,-34.61459,149.84941,-33.64877,149.04796,-33.94781,151.10863,-35.27202,148.56926,-35.57725,150.67126
LT05_L1TP_090084_20050428_20161127_01_T1,LT50900842005118ASA01,2005/04/28,T1,2016/11/27, 090, 084,-34.61196,149.82349,-33.67465,149.06253,-33.96108,151.03118,-35.25174,148.59791,-35.54353,150.60287
LE07_L1TP_090084_20050506_20170114_01_T1,LE70900842005126ASA00,2005/05/06,T1,2017/01/14, 090, 084,-34.61524,149.82439,-33.64725,149.02434,-33.94624,151.08449,-35.27044,148.54398,-35.57552,150.64543
LT05_L1TP_090084_20050514_20161127_01_T1,LT50900842005134ASA01,2005/05/14,T1,2016/11/27, 090, 084,-34.60847,149.82502,-33.67116,149.06408,-33.95758,151.03266,-35.24826,148.59949,-35.54003,150.60437
LE07_L1TP_090084_20050522_20170114_01_T1,LE70900842005142ASN00,2005/05/22,T1,2017/01/14, 090, 084,-34.6423,149.7591,-33.6764,148.9588,-33.9747,151.019,-35.2996,148.4789,-35.6041,150.5804
LT05_L1TP_090084_20050530_20161127_01_T1,LT50900842005150ASA01,2005/05/30,T1,2016/11/27, 090, 084,-34.61075,149.81207,-33.67344,149.05111,-33.95987,151.01974,-35.25053,148.58651,-35.54231,150.59144
LE07_L1TP_090084_20050607_20170115_01_T1,LE70900842005158ASN00,2005/06/07,T1,2017/01/15, 090, 084,-34.6386,149.7768,-33.6738,148.975,-33.9718,151.0347,-35.2979,148.4978,-35.602,150.5989
LT05_L1TP_090084_20050615_20161125_01_T1,LT50900842005166ASA01,2005/06/15,T1,2016/11/25, 090, 084,-34.60296,149.80774,-33.66566,149.04684,-33.95206,151.01529,-35.24276,148.5823,-35.53451,150.58704
LE07_L1TP_090084_20050623_20170115_01_T1,LE70900842005174ASN00,2005/06/23,T1,2017/01/15, 090, 084,-34.6332,149.7912,-33.6667,148.9907,-33.9646,151.0504,-35.2905,148.513,-35.5943,150.6142
LT05_L1TP_090084_20050701_20161126_01_T1,LT50900842005182ASA01,2005/07/01,T1,2016/11/26, 090, 084,-34.61226,149.81079,-33.67495,149.04982,-33.96138,151.01849,-35.25204,148.5852,-35.54383,150.59017
LE07_L1TP_090084_20050709_20170113_01_T1,LE70900842005190ASA00,2005/07/09,T1,2017/01/14, 090, 084,-34.61504,149.82962,-33.6466,149.03032,-33.94544,151.09006,-35.27034,148.55119,-35.57524,150.6523
LT05_L1TP_090084_20050717_20161126_01_T1,LT50900842005198ASA01,2005/07/17,T1,2016/11/26, 090, 084,-34.60764,149.79422,-33.67033,149.03329,-33.95675,151.00185,-35.24743,148.5687,-35.5392,150.57356
LE07_L1TP_090084_20050725_20170113_01_T1,LE70900842005206ASN00,2005/07/25,T1,2017/01/13, 090, 084,-34.6187,149.7708,-33.6497,148.9693,-33.9474,151.0299,-35.274,148.4912,-35.5777,150.5932
LT05_L1GS_090084_20050802_20161125_01_T2,LT50900842005214ASA01,2005/08/02,T2,2016/11/25, 090, 084,-34.60312,149.77408,-33.66582,149.01318,-33.95222,150.98164,-35.24292,148.54864,-35.53468,150.55338
LE07_L1TP_090084_20050810_20170114_01_T1,LE70900842005222ASN00,2005/08/10,T1,2017/01/14, 090, 084,-34.6105,149.7678,-33.6436,148.9663,-33.9412,151.027,-35.2678,148.4889,-35.5714,150.591
LT05_L1GS_090084_20050818_20161124_01_T2,LT50900842005230ASA01,2005/08/18,T2,2016/11/24, 090, 084,-34.60199,149.76201,-33.66469,149.00112,-33.95109,150.96955,-35.24179,148.53659,-35.53354,150.54131
LE07_L1TP_090084_20050826_20170114_01_T1,LE70900842005238ASN00,2005/08/26,T1,2017/01/14, 090, 084,-34.6021,149.7719,-33.6349,148.9715,-33.9325,151.0316,-35.2589,148.4932,-35.5626,150.5946
LT05_L1GS_090084_20050903_20161124_01_T2,LT50900842005246ASA01,2005/09/03,T2,2016/11/24, 090, 084,-34.59545,149.75882,-33.65816,148.99797,-33.94454,150.96626,-35.23527,148.5335,-35.527,150.53806
LE07_L1TP_090084_20050911_20170113_01_T1,LE70900842005254ASA00,2005/09/11,T1,2017/01/13, 090, 084,-34.6157,149.84238,-33.65022,149.04163,-33.94877,151.10124,-35.27478,148.56271,-35.57944,150.66368
LT05_L1TP_090084_20050919_20161125_01_T1,LT50900842005262ASA01,2005/09/19,T1,2016/11/25, 090, 084,-34.60141,149.76303,-33.66411,149.00214,-33.95051,150.97056,-35.24122,148.53761,-35.53296,150.54232
LE07_L1TP_090084_20050927_20170113_01_T1,LE70900842005270ASA00,2005/09/27,T1,2017/01/13, 090, 084,-34.61605,149.81509,-33.64881,149.01523,-33.94718,151.07442,-35.27364,148.53558,-35.57816,150.63609
LT05_L1TP_090084_20051005_20161124_01_T1,LT50900842005278ASA01,2005/10/05,T1,2016/11/24, 090, 084,-34.60279,149.78061,-33.66549,149.01971,-33.95189,150.98816,-35.24259,148.55517,-35.53434,150.55991
LE07_L1TP_090084_20051013_20170112_01_T1,LE70900842005286ASN00,2005/10/13,T1,2017/01/12, 090, 084,-34.5817,149.7252,-33.6141,148.926,-33.9136,150.9844,-35.2379,148.4456,-35.5436,150.5453
LT05_L1TP_090084_20051021_20161124_01_T1,LT50900842005294ASA01,2005/10/21,T1,2016/11/24, 090, 084,-34.60058,149.7858,-33.66328,149.02492,-33.94968,150.99332,-35.24039,148.5604,-35.53213,150.56508
LE07_L1GT_090084_20051029_20170113_01_T2,LE70900842005302ASA00,2005/10/29,T2,2017/01/13, 090, 084,-34.61214,149.7825,-33.64481,148.98297,-33.94468,151.04172,-35.26936,148.50131,-35.57532,150.60138
LT05_L1GS_090084_20051106_20161124_01_T2,LT50900842005310ASA01,2005/11/06,T2,2016/11/24, 090, 084,-34.5995,149.78508,-33.6622,149.0242,-33.9486,150.99258,-35.23931,148.5597,-35.53105,150.56436
LE07_L1TP_090084_20051114_20170112_01_T1,LE70900842005318ASN00,2005/11/14,T1,2017/01/12, 090, 084,-34.5809,149.7027,-33.6123,148.9043,-33.9123,150.9624,-35.2372,148.423,-35.5434,150.5224
LT05_L1GS_090084_20051122_20161123_01_T2,LT50900842005326ASA01,2005/11/22,T2,2016/11/23, 090, 084,-34.60052,149.79448,-33.66322,149.0336,-33.94962,151.002,-35.24033,148.56908,-35.53207,150.57376
LE07_L1TP_090084_20051130_20170112_01_T1,LE70900842005334ASN00,2005/11/30,T1,2017/01/12, 090, 084,-34.5851,149.7085,-33.614,148.9104,-33.9143,150.9691,-35.2386,148.429,-35.5452,150.5289
